t,regime,DeltaPhi,E,I,C
9.94,stable,0.153872,0.50164,0.058227,202.958811
9.96,stable,0.154202,0.501631,0.058356,203.014208
9.98,stable,0.163566,0.501631,0.058065,204.38523
10.0,stable,0.164969,0.501626,0.058085,204.574067
10.02,stable,0.184559,0.501615,0.057857,206.922795
10.04,stable,0.194822,0.501591,0.057519,207.93653
10.06,stable,0.195832,0.501622,0.057619,208.091253
10.08,stable,0.193513,0.501615,0.057605,207.845699
10.1,stable,0.192884,0.501587,0.057696,207.751938
10.12,stable,0.18351,0.501583,0.057674,206.739057
10.14,stable,0.192284,0.501615,0.05776,207.734676
10.16,stable,0.187019,0.501647,0.057582,207.206934
10.18,stable,0.186352,0.501695,0.057556,207.201548
10.2,stable,0.188444,0.501754,0.057235,207.474296
10.22,stable,0.185065,0.501838,0.057045,207.211491
10.24,stable,0.192992,0.501817,0.057076,208.011835
10.26,stable,0.177459,0.502061,0.05685,206.671429
10.28,stable,0.183233,0.502104,0.056825,207.360151
10.3,stable,0.18101,0.502211,0.056741,207.257848
10.32,stable,0.177858,0.502324,0.056963,207.094016
10.34,stable,0.17212,0.502536,0.05729,206.783801
10.36,stable,0.178898,0.502359,0.057236,207.282359
10.38,stable,0.183998,0.502534,0.057171,208.025541
10.4,stable,0.18531,0.50251,0.057125,208.123294
10.42,stable,0.184196,0.502635,0.05706,208.156581
10.44,stable,0.186517,0.502441,0.057201,208.167398
10.46,stable,0.134501,0.503015,0.057825,202.494164
10.48,stable,0.14561,0.503397,0.057962,204.84653
10.5,stable,0.147983,0.503851,0.057766,205.736795
10.52,stable,0.13059,0.503732,0.057961,203.174528
10.54,stable,0.150679,0.503379,0.057592,205.430846
10.56,stable,0.146425,0.503226,0.057689,204.667015
10.58,stable,0.151808,0.503219,0.057679,205.362516
10.6,stable,0.152751,0.503344,0.057776,205.664626
10.62,stable,0.151907,0.503546,0.057517,205.797391
10.64,stable,0.151215,0.503664,0.057464,205.857542
10.66,stable,0.152006,0.503399,0.05745,205.606705
10.68,stable,0.157577,0.503215,0.057308,206.020455
10.7,stable,0.156834,0.503162,0.057325,205.861735
10.72,stable,0.166492,0.502847,0.057189,206.554997
10.74,stable,0.170303,0.50252,0.057225,206.550521
10.76,stable,0.172608,0.50241,0.057295,206.667047
10.78,stable,0.144454,0.503063,0.057324,204.082851
10.8,stable,0.175089,0.503764,0.057845,208.575302
10.82,stable,0.175676,0.502954,0.057363,207.702682
10.84,stable,0.166859,0.50275,0.057529,206.506844
10.86,stable,0.151179,0.503022,0.057639,204.988239
10.88,stable,0.1382,0.503597,0.058036,204.127583
10.9,stable,0.161395,0.503953,0.057722,207.37388
10.92,stable,0.1747,0.503193,0.057434,207.887001
10.94,stable,0.202862,0.502618,0.057738,209.943018
10.96,stable,0.211968,0.502636,0.057724,210.738532
10.98,stable,0.219058,0.50232,0.057428,210.981444
11.0,stable,0.227665,0.502903,0.057231,212.198887
11.02,stable,0.232495,0.502991,0.057203,212.636764
11.04,stable,0.237907,0.503274,0.057103,213.256723
11.06,stable,0.224063,0.503389,0.0572,212.337614
11.08,stable,0.218126,0.503104,0.05765,211.670398
11.1,stable,0.19765,0.502939,0.057899,209.829832
11.12,stable,0.204518,0.502723,0.058124,210.228855
11.14,stable,0.187976,0.503012,0.058205,209.055172
11.16,stable,0.180859,0.502873,0.058279,208.224094
11.18,stable,0.189514,0.502507,0.058238,208.640756
11.2,stable,0.191266,0.502367,0.058276,208.647287
11.22,stable,0.193172,0.502043,0.058453,208.45444
11.24,stable,0.195878,0.501985,0.058483,208.647607
11.26,stable,0.198512,0.502043,0.058418,208.962078
11.28,stable,0.211205,0.50165,0.058388,209.650949
11.3,stable,0.21728,0.501545,0.058404,210.064246
11.32,stable,0.224448,0.502278,0.058573,211.466494
11.34,stable,0.209476,0.502094,0.058518,210.021644
11.36,stable,0.217304,0.502034,0.058466,210.622029
11.38,stable,0.193536,0.502357,0.058622,208.884185
11.4,stable,0.182276,0.502197,0.058913,207.599154
11.42,stable,0.193776,0.501868,0.05928,208.371721
11.44,stable,0.19277,0.501863,0.059291,208.266635
11.46,stable,0.188093,0.501975,0.059195,207.934076
11.48,stable,0.184236,0.501886,0.059333,207.430115
11.5,stable,0.180419,0.501983,0.059306,207.153845
11.52,stable,0.223196,0.502325,0.058513,211.408299
11.54,stable,0.2258,0.502484,0.058648,211.778975
11.56,stable,0.264414,0.502063,0.058169,214.176177
11.58,stable,0.286116,0.502293,0.057776,215.764454
11.6,stable,0.2873,0.502432,0.057967,215.958196
11.62,stable,0.270867,0.502455,0.057977,214.924142
11.64,stable,0.313388,0.50264,0.057757,217.662918
11.66,stable,0.307986,0.502189,0.057791,217.02373
11.68,stable,0.286551,0.501911,0.057711,215.478961
11.7,stable,0.302404,0.5017,0.057406,216.281016
11.72,stable,0.314686,0.501578,0.057326,216.921861
11.74,stable,0.314066,0.501619,0.057305,216.916451
11.76,stable,0.312049,0.50169,0.057278,216.850681
